category,subcategory_1,uuid,name,description,part_number,price,cost,taxable,unit_of_measure,material_markup_enabled
Solar Monitoring,"",pbmat_a6feb81695a74c57b01218938761075b,SWDM-US-10,SMA Speedwire Datalogging/Monitoring Card for -22 and TriPowers,SWDM-US-10,$278.45,$214.20,false,Each,false
Misc material,"",pbmat_7fdf6d0bf92a406583677c50ea3e1887,Fronius Rapid Shut Down,"",,$335.00,$256.91,false,,false
INVERTER,"",pbmat_adb243476e2b4076a429266afd0effee,Fronius Primo Gen24 5.0kW inverter,"",,$2048.75,$1517.56,false,,false
Misc material,"",pbmat_c72c0affa74442eca5c7b313c1049618,Fuse,"",,$389.49,$311.59,false,,false
Misc material,"",pbmat_c6b760e869984554bff10d7e6f04ac1f,MOTOR RUN CAPACITOR 370 TO 440VAC,"",,$16.72,$4.18,false,,false
INVERTER,"",pbmat_6d424ee396e64ec6b27fecdf9830722d,Fronius Gen24 7.7kW Inverter,"Fronius Primo GEN24 7.7
4,210,143,800
Manufacturer: Fronius USA, 10 years limited warranty",,$2695.00,$2023.30,false,,false
Electric Vehicle ,"",pbmat_f4d7f8d6911140cc9255e4d5d6eb4b04,HCS-40R-C17-L25-170,"32A charging, 240VAC, 10AWG service, 25' 10AWG ruggedized J1772 connector",,$1060.00,$916.00,false,,false
Electric Vehicle ,"",pbmat_9a451679e3a6458baf3250e07af61d6a,Trip Charge ,"Covers the cost of our technician traveling to your location, ensuring timely arrival with the necessary tools and expertise to assess and address your needs efficiently. This helps us provide reliable service and maintain prompt scheduling for all customers.",,$100.00,$0.00,false,,false
Misc material,"",pbmat_095a3d62729e4e11a9fe1da7cca93796,Spruce- CATM1 meter,"",,$448.09,$0.00,false,,false
Misc material,"",pbmat_0d18a4f772794cf39c9fb406fcb4051d,Meter Can/Wire,"",,$140.50,$0.00,false,,false
INVERTER,"",pbmat_1f84299c35a94f7c9b1bc4a5c00ce91e,Sunny Tripower X 20-US-50,"",,$4206.67,$3235.90,false,,false
Misc material,"",pbmat_eaad0f6293f748f193a1ece4ddfad31a,SQD Disconnect,"",,$175.00,$125.00,false,,false
Wire,"",pbmat_a0e49c23c780470c8296d432e77f0712,3 AWG STRANDED,"""THHN TYPE; 500 FT; 500 LENGTH IN FT; SOFT ANNEALED COPPER CONDUCTOR MATERIAL; UL (CANADA AND US) APPROVAL; 600 V
VOLTAGE RATING; 85 AMPERE (60 DEG C), 100 AMPERE (75 DEG C), 110 AMPERE (90 DEG C) CURRENT RATING""",WIRE THHN3STRBLK,$2.70,$2.08,false,Each,false
Misc material,"",pbmat_548ce63bf2bb441791a8824d04d4a949,SQD Fused Disconnect,"",,$167.87,$129.13,false,,false
Misc material,"",pbmat_76367a43735a4d7889715eb29d879ed0,250V Fuses - For SQD disconnect,"",,$8.59,$4.98,false,,false
